"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"5/25/18","1043","453","44","732","","2,272","Sunny","","","","","","","","","","","","","","","","","",""
"5/24/18","964","362","30","792","","2,148","Cloudy","","","","","","","","","","","","","","","","","",""
"5/23/18","784","325","62","768","0","1,939","Sunny","","","","","","","","","","","","","","","","","",""
"5/22/18","1006","427","33","266","0","1,732","Sunny","","","","","","","","","","","","","","","","","",""
"5/21/18","1832","1328","7","10","0","3,177","Sunny","","","","","","","","","","","","","","","","","",""
"5/20/18","2512","1526","44","0","19","4,101","Sunny","","","","","","","","","","","","","","","","","",""
"5/19/18","2201","1312","33","0","55","3,601","Sunny","","","","","","","","","","","","","","","","","",""
"5/18/18","1201","1044","79","501","","2,825","Cloudy","","","","","","","","","","","","","","","","","",""
"5/17/18","715","326","0","729","0","1,770","Sunny","","","","","","","","","","","","","","","","","",""
"5/16/18","811","358","84","278","","1,531","Sunny","","","","","","","","","","","","","","","","","",""
"5/15/18","572","261","0","138","0","971","Sunny","","","","","","","","","","","","","","","","","",""
"5/14/18","463","221","","207","","891","Sunny","","","","","","","","","","","","","","","","","",""
"5/13/18","840","697","0","0","0","1,537","Sunny","","","","","","","","","","","","","","","","","",""
"5/12/18","1060","672","69","0","85","1,886","Sunny","","","","","","","","","","","","","","","","","",""
"5/11/18","662","390","33","233","0","1,318","Sunny","","","","","","","","","","","","","","","","","",""
"5/10/18","759","387","0","489","0","1,635","Sunny","","","","","","","","","","","","","","","","","",""
"5/9/18","835","377","49","510","0","1,771","Sunny","","","","","","","","","","","","","","","","","",""
"5/8/18","514","279","15","302","0","1,110","Sunny","","","","","","","","","","","","","","","","","",""
"5/7/18","605","312","0","436","0","1,353","Sunny","","","","","","","","","","","","","","","","","",""
"5/6/18","915","748","0","0","32","1,695","Sunny","","","","","","","","","","","","","","","","","",""
"5/5/18","1081","704","12","0","54","1,851","Sunny","","","","","","","","","","","","","","","","","",""
"5/4/18","1028","597","19","386","0","2,030","Sunny","","","","","","","","","","","","","","","","","",""
"5/3/18","571","260","0","488","0","1,319","Sunny","","","","","","","","","","","","","","","","","",""
"5/2/18","586","225","22","510","0","1,343","Sunny","","","","","","","","","","","","","","","","","",""
"5/1/18","603","341","134","455","0","1,533","Sunny","","","","","","","","","","","","","","","","","",""
"4/30/18","650","403","0","213","0","1,266","Cloudy","","","","","","","","","","","","","","","","","",""
"4/29/18","2061","1754","10","0","144","3,969","Cloudy","","","","","","","","","","","","","","","","","",""
"4/28/18","2422","1559","37","0","58","4,076","Cloudy","","","","","","","","","","","","","","","","","",""
"4/27/18","977","705","40","239","0","1,961","Sunny","","","","","","","","","","","","","","","","","",""
"4/26/18","570","319","12","435","","1,336","Sunny","","","","","","","","","","","","","","","","","",""
"4/25/18","387","259","","462","","1,108","Sunny","","","","","","","","","","","","","","","","","",""
"4/24/18","527","281","10","711","","1,529","Sunny","","","","","","","","","","","","","","","","","",""
"4/23/18","560","432","23","327","","1,342","Sunny","","","","","","","","","","","","","","","","","",""
"4/22/18","1837","1209","26","","108","3,180","Sunny","","","","","","","","","","","","","","","","","",""
"4/21/18","2019","1071","97","53","91","3,331","Sunny","","","","","","","","","","","","","","","","","",""
"4/20/18","1173","778","18","664","","2,633","Sunny","","","","","","","","","","","","","","","","","",""
"4/19/18","573","352","","614","","1,539","Sunny","","","","","","","","","","","","","","","","","",""
"4/18/18","526","378","","720","","1,624","Sunny","","","","","","","","","","","","","","","","","",""
"4/17/18","601","375","23","344","","1,343","Sunny","","","","","","","","","","","","","","","","","",""
"4/16/18","779","365","","329","","1,473","Rainy","","","","","","","","","","","","","","","","","",""
"4/15/18","1780","1446","","","52","3,278","Cloudy","","","","","","","","","","","","","","","","","",""
"4/14/18","1982","1303","0","0","109","3,394","Cloudy","","","","","","","","","","","","","","","","","",""
"4/13/18","1146","588","52","548","","2,334","Rainy","","","","","","","","","","","","","","","","","",""
"4/12/18","609","425","12","354","","1,400","Sunny","","","","","","","","","","","","","","","","","",""
"4/11/18","918","461","16","340","","1,735","Rainy","","","","","","","","","","","","","","","","","",""
"4/10/18","781","400","","625","","1,806","Rainy","","","","","","","","","","","","","","","","","",""
"4/9/18","686","351","15","186","","1,238","Cloudy","","","","","","","","","","","","","","","","","",""
"4/8/18","2058","1749","","6","84","3,897","Cloudy","","","","","","","","","","","","","","","","","",""
"4/7/18","2446","1508","32","1","141","4,128","Rainy","","","","","","","","","","","","","","","","","",""
"4/6/18","1226","712","69","396","","2,403","Rainy","","","","","","","","","","","","","","","","","",""
"4/5/18","1526","460","32","","","2,018","Rainy","","","","","","","","","","","","","","","","","",""
"4/4/18","1118","518","31","139","","1,806","Rainy","","","","","","","","","","","","","","","","","",""
"4/3/18","1378","533","17","105","","2,033","Cloudy","","","","","","","","","","","","","","","","","",""
"4/2/18","1733","1403","10","","","3,146","Sunny","","","","","","","","","","","","","","","","","",""
"4/1/18","1871","707","41","","","2,619","Sunny","","","","","","","","","","","","","","","","","",""
"3/31/18","2356","1135","26","","","3,517","Sunny","","","","","","","","","","","","","","","","","",""
"3/30/18","3503","1616","80","","","5,199","Sunny","","","","","","","","","","","","","","","","","",""
"3/29/18","3191","1356","316","","","4,863","Sunny","","","","","","","","","","","","","","","","","",""
"3/28/18","2554","1125","639","","","4,318","Sunny","","","","","","","","","","","","","","","","","",""
"3/27/18","3148","1468","463","","","5,079","Sunny","","","","","","","","","","","","","","","","","",""
"3/26/18","3276","1452","41","","","4,769","Rainy","","","","","","","","","","","","","","","","","",""
"3/25/18","2802","1622","20","","","4,444","Cloudy","","","","","","","","","","","","","","","","","",""
"3/24/18","3538","1787","45","","","5,370","Rainy","","","","","","","","","","","","","","","","","",""
"3/23/18","2967","1492","573","","","5,032","Sunny","","","","","","","","","","","","","","","","","",""
"3/22/18","3097","1449","381","","","4,927","Rainy","","","","","","","","","","","","","","","","","",""
"3/21/18","2453","1413","368","","","4,234","Sunny","","","","","","","","","","","","","","","","","",""
